feature,beta,abs_beta
hinge(dist_main_river_km):0.0198077671229839:238.268008112071,-8.200576844790497,8.200576844790497
hinge(dist_main_river_km):36.6733770509612:449.026031494141,-4.549212539166511,4.549212539166511
hinge(dens_hum_km2):0:0.467740078361667,2.6221965969596224,2.6221965969596224
hinge(dist_main_river_km):45.8367693719207:449.026031494141,-2.568649158649063,2.568649158649063
hinge(dens_hum_km2):0:0.935480156723334,-1.3999064369349246,1.3999064369349246
hinge(dens_hum_km2):3.74192062689334:22.9192638397217,-0.9925428897578717,0.9925428897578717
hinge(dens_nat_km2):0:0.543092610884686,0.5576846632188156,0.5576846632188156
hinge(dens_nat_km2):16.8358709374253:26.6115379333496,0.41829334885722963,0.41829334885722963
hinge(dist_main_river_km):0.0198077671229839:36.6733770509612,0.3652100454901472,0.3652100454901472
hinge(dist_main_river_km):0.0198077671229839:9.18320008808253,0.32020382228550415,0.32020382228550415
hinge(dist_main_river_km):0.0198077671229839:45.8367693719207,0.18518745161258676,0.18518745161258676
hinge(dens_hum_km2):16.83864282102:22.9192638397217,-0.18278018963443096,0.18278018963443096
hinge(dens_nat_km2):17.3789635483099:26.6115379333496,0.14003381399403894,0.14003381399403894
hinge(dist_main_river_km):0.0198077671229839:210.777831149192,-0.029546044364481383,0.029546044364481383
dens_nat_km2,0.023144055164387126,0.023144055164387126
hinge(dist_main_river_km):0.0198077671229839:174.124261865354,-0.006331285033917509,0.006331285033917509
hinge(dist_main_river_km):0.0198077671229839:183.287654186314,-0.005816742346678428,0.005816742346678428
hinge(dist_main_river_km):0.0198077671229839:192.451046507273,-0.005337482223880149,0.005337482223880149
hinge(dist_main_river_km):0.0198077671229839:164.960869544395,-0.00510914274620595,0.00510914274620595
hinge(dist_main_river_km):0.0198077671229839:201.614438828233,-0.00484573714957138,0.00484573714957138
hinge(dist_main_river_km):27.5099847300016:449.026031494141,-0.001537959170783177,0.001537959170783177
