county,presence,first_record,last_record,n_records
Williamson,1,2013,2025,117
Harris,1,2012,2025,93
Dallas,1,2016,2025,57
Travis,1,2013,2025,51
Bastrop,1,2012,2024,49
Collin,1,2013,2025,34
Brazos,1,2014,2024,27
Tarrant,1,2018,2025,27
Chambers,1,1987,2025,22
Angelina,1,1936,2023,21
Denton,1,2012,2025,20
Grimes,1,1997,2025,20
Fort Bend,1,2016,2025,19
Bell,1,2017,2025,18
Colorado,1,2014,2024,14
Hays,1,2018,2025,13
Montgomery,1,2011,2025,13
Burleson,1,2015,2022,12
Rockwall,1,2016,2025,12
Brazoria,1,1996,2024,11
McLennan,1,2018,2023,11
Lee,1,2014,2023,10
Milam,1,2017,2025,10
Galveston,1,1994,2024,9
Nacogdoches,1,1936,2025,9
Fayette,1,2018,2025,8
Freestone,1,2020,2024,8
Grayson,1,2018,2025,8
Jasper,1,2006,2021,8
Jefferson,1,1947,2022,8
Kaufman,1,2020,2025,8
Washington,1,2017,2024,8
Burnet,1,2015,2023,7
Parker,1,2019,2024,7
Ellis,1,2018,2024,6
Falls,1,2018,2025,6
Gonzales,1,2014,2024,6
Liberty,1,2007,2025,6
Limestone,1,2009,2023,6
Robertson,1,1988,2023,6
Walker,1,2017,2025,6
Austin,1,2014,2023,5
Caldwell,1,2018,2025,5
Cooke,1,2014,2025,5
Harrison,1,2020,2025,5
Jackson,1,2006,2021,5
Lampasas,1,2020,2024,5
Marion,1,2018,2025,5
Orange,1,1976,2025,5
Tyler,1,1975,2024,5
Waller,1,2014,2025,5
Bowie,1,2019,2024,4
Coryell,1,2018,2024,4
Fannin,1,2022,2023,4
Hardin,1,2013,2022,4
Montague,1,2009,2025,4
Polk,1,2011,2024,4
Refugio,1,2019,2021,4
San Jacinto,1,2019,2020,4
Smith,1,2014,2021,4
Cass,1,2022,2022,3
Cherokee,1,2018,2024,3
Clay,1,2017,2020,3
Gregg,1,2019,2021,3
Hill,1,2019,2025,3
Houston,1,2020,2021,3
Hunt,1,2015,2021,3
Navarro,1,2019,2025,3
Victoria,1,2020,2025,3
Wharton,1,2018,2021,3
Anderson,1,2020,2023,2
Blanco,1,2019,2021,2
Franklin,1,2019,2019,2
Guadalupe,1,2025,2025,2
Henderson,1,2020,2020,2
Lavaca,1,2018,2022,2
Rains,1,2023,2023,2
Somervell,1,2012,2014,2
Trinity,1,2015,2020,2
Upshur,1,2017,2018,2
Van Zandt,1,2023,2024,2
Bexar,1,2025,2025,1
Bosque,1,2018,2018,1
Brewster,1,2020,2020,1
Comal,1,2019,2019,1
Comanche,1,2021,2021,1
DeWitt,1,2022,2022,1
Delta,1,2020,2020,1
Erath,1,2024,2024,1
Goliad,1,2023,2023,1
Hood,1,2025,2025,1
Johnson,1,2018,2018,1
Jones,1,2022,2022,1
Kendall,1,2007,2007,1
Lamar,1,2013,2013,1
Leon,1,2022,2022,1
Madison,1,2022,2022,1
Panola,1,2010,2010,1
Red River,1,2017,2017,1
Rusk,1,2019,2019,1
Taylor,1,2020,2020,1
Titus,1,2020,2020,1
Wichita,1,2025,2025,1
Wilbarger,1,2016,2016,1
Wise,1,2022,2022,1
Wood,1,2020,2020,1
Young,1,2024,2024,1
